taxon,xd_ids,soc_ids,Guthrie,Hist-Groups,G-code,L-code,Language,missing,orig-Longitude,orig-Latitude,glottocode
Tiv,xd320,"Ah3, SCCS16",0,Bantoid,802,Tiv,Tiv,0,5,7.5,tivv1240
Ama,,,0,Bantoid,805,Ama,Amasi,9,6.1,9.75,
Amb,,,0,Bantoid,806,Amb,Ambele,9,6.95,9.55,ambe1247
Asu,,,0,Bantoid,894,Asu,Asumbo,14,6.3,9.5,iyiv1238
Bang,,,0,Bantoid,951,Bang,Bangangte,1,5.6,10.2,bato1244
Mif,,,0,Bantoid,900a,Mif,Miﬁ,3,5.2,10.3,
Band,,,0,Bantoid,900b,Band,Bandjoun,0,5.3,10.3,ghom1247
Dsc,,,0,Bantoid,900c,Dsc,Dschang,0,5.4,10.1,yemb1246
Fef1,xd171,Ae5,0,Bantoid,970a,Fef1,Fefe,0,5.3,10.2,fefe1239
Baf,xd171,Ae5,0,Bantoid,970b,Baf,Bafang,1,5.1,10.2,fefe1239
A_Mbo,,,A,North-West,A15g,A-Mbo,Mbo,0,4.8,10,mboc1235
A_Dua,xd130,Ae12,A,North-West,A24,A-Dua,Duala,0,3.8,9.7,dual1243
A_Pon,,,A,North-West,A26,A-Pon,Pongo,0,4.1,9.7,pong1251
A_Lim,,,A,North-West,A27,A-Lim,Limba,0,3.9,9.5,mali1280
A_Bub,xd165,Ae44,A,Buneya,A31,A-Bub,Bubi,4,3.5,8.8,bube1242
A_Noh,xd168,Ae47,A,North-West,A32a,A-Noh,Noho,9,3.1,10,bata1285
A_Tan,xd168,Ae47,A,North-West,A32c,A-Tan,Tanga,0,3.3,10,bata1285
A_Be1,,,A,North-West,A34,A-Be1,Benga,0,0.5,9.7,beng1282
A_Bas,,,A,Buneya,A43a,A-Bas,Basaa,0,3.6,11,basa1284
A_Kok,xd175,Ae53,A,Buneya,A43b,A-Kok,Koko,0,3.5,10,bako1249
A_Nen,xd173,"Ae51, SCCS15",A,Buneya,A44,A-Nen,Nen,0,4.7,10.9,tune1261
A_Lef,,,A,Buneya,A51,A-Lef,Lefa,17,5,11.2,lefa1242
A_Maj,,,A,Buneya,A51,A-Maj,Maja,6,4.8,11.2,lefa1242
A_Tum,,,A,Buneya,A51,A-Tum,Tumi,4,4.9,11.1,lefa1242
A_Kpa,,,A,Buneya,A53,A-Kpa,Kpa,1,4.6,11.1,kpaa1242
A_Rop,,,A,Buneya,A53,A-Rop,Rope,2,4.6,11.1,
A_Nja,,,A,Buneya,A54,A-Nja,Njanti,6,5,11.3,tibe1274
A_Tuk,,,A,Buneya,A61a,A-Tuk,Tuki,3,4.5,11.4,tuki1240
A_Gun,,,A,Buneya,A62a,A-Gun,Gunu,11,4.6,11.3,nugu1242
A_Mma,,,A,Buneya,A62b,A-Mma,Mmala,7,4.5,11.2,mmaa1238
A_Kal,,,A,Buneya,A62d,A-Kal,Kalonge,0,4.3,11.1,yang1293
A_Eto,,,A,North-West,A71,A-Eto,Eton,0,4,11.2,eton1253
A_Ndo,,,A,North-West,A71a,A-Ndo,Ndongo,0,3.9,11.3,
A_Ewo,,,A,North-West,A72a,A-Ewo,Ewondo,0,3.9,11.5,ewon1239
A_Yao,,,A,North-West,A72a,A-Yao,Yaounde,0,3.6,11.2,ewon1239
A_Yas,,,A,North-West,A72d,A-Yas,Yasem,3,4.4,11.7,
A_Bul,,,A,North-West,A74a,A-Bul,Bulu,1,3,11.5,bulu1251
A_Fan,xd149,Ae3,A,North-West,A75,A-Fan,Fang,2,2.1,14.1,fang1246
A_Mak,,,A,North-West,A75,A-Mak,Make,3,-0.5,10,make1249
A_Ntu,,,A,North-West,A75,A-Ntu,Ntum,1,1.62,11.6,ntum1238
A_Kw1,,,A,North-West,A80,A-Kw1,Kwejo,0,3.5,16.2,ukhw1241
A_Kw2,,,A,North-West,A80,A-Kw2,Kweso,5,1.8,16.3,
A_Koo,,,A,North-West,A84,A-Koo,Koozime,0,3.4,13,koon1245
A_Bek,,,A,North-West,A85b,A-Bek,Bekwil,0,1.8,14.2,bekw1242
A_Mpy,,,A,North-West,A86c,A-Mpy,Mpyemo,0,3.5,15,mpie1238
A_Bom,xd164,Ae43,A,North-West,A87,A-Bom,Bomwali,3,1.55,15.7,bomw1238
A_San,,,A,North-West,A87,A-San,Sangasanga,5,2.2,15.15,
A_Pom,,,A,North-West,A92,A-Pom,Pomo,2,1.7,16.2,pomo1271
A_Ka2,,,A,North-West,A93a,A-Ka2,Kako,0,4.1,15.2,kako1242
B_Pon,,,B,North-West,B11a,B-Pon,Pongwe,1,0.35,9,mpon1255
B_Ga2,,,B,North-West,B11C,B-Ga2,Galwa,0,-0.8,10.1,galw1238
B_Him,,,B,North-West,B11d,B-Him,Himba,6,-1.48,11.54,simb1254
B_Nko,,,B,North-West,B11e,B-Nko,Nkomi,1,-1.3,9.22,nkom1238
B_Sha,,,B,North-West,B20,B-Sha,Shama,0,0.55,12.85,osam1235
B_Sek,,,B,North-West,B21,B-Sek,Seki,0,0.5,9.5,seki1238
B_Ung,,,B,North-West,B22b,B-Ung,Ungom,0,-0.5,10.5,ngom1270
B_Pov,,,B,North-West,B22c,B-Pov,Pove,2,-1.2,12.2,bubi1250
B_Mbh,,,B,North-West,B23,B-Mbh,Mbahouin,16,-1.7,13.4,mban1268
B_Wu1,,,B,North-West,B24,B-Wu1,Wumbu,0,-2,12,wumb1242
B_Mah,,,B,North-West,B25,B-Mah,Mahongwe,0,1,14.3,maho1248
B_Sa1,,,B,North-West,B25,B-Sa1,Sake,7,-0.1,11.9,sake1247
B_Ko3,,,B,North-West,B25b,B-Ko3,Kota,0,1.1,13.9,kota1274
B_Nd1,xd162,Ae41,B,North-West,B26,B-Nd1,Ndasa,2,-3.3,13.2,ndas1238
B_Tsg,xd40,Ac16,B,North-West,B31,B-Tsg,Tsogo,4,-1.75,11.5,tsog1243
B_Pin,,,B,North-West,B33,B-Pin,Pinji,1,-1.8,11,pinj1243
B_Bon,,,B,West-Coastal,B40,B-Bon,Bongo,2,-3.1,12,
B_Vu2,,,B,West-Coastal,B40a,B-Vu2,Vungu,1,-2.1,10.7,vumb1238
B_Bwa,,,B,West-Coastal,B41,B-Bwa,Bwali,2,-1.4,10.6,
B_Shi,,,B,West-Coastal,B41,B-Shi,Shira,0,-1.5,10.5,sira1266
B_Sg2,,,B,West-Coastal,B42a,B-Sg2,Sango,1,-1.2,12.5,sang1333
B_Pu1,,,B,West-Coastal,B43,B-Pu1,Punu,1,-2.5,11,punu1239
B_Lu1,,,B,West-Coastal,B44,B-Lu1,Lumbu,0,-2.8,10,lumb1249
B_Bwi,,,B,West-Coastal,B45,B-Bwi,Bwisi,1,-3.25,13.1,bwis1242
B_Bar,,,B,West-Coastal,B46,B-Bar,Barama,1,-2.6,9.8,bara1362
B_Dum,,,B,West-Coastal,B51,B-Dum,Duma,5,-0.8,12.6,duma1253
B_Wan,,,B,West-Coastal,B51,B-Wan,Wanji,2,-0.9,12.8,wand1266
B_Nze,,,B,West-Coastal,B52,B-Nze,Nzebi,1,-1.9,11.9,njeb1242
B_Tsa,,,B,West-Coastal,B53,B-Tsa,Tsangi,2,-2.9,13.7,tsaa1242
B_Mbe,,,B,West-Coastal,B61,B-Mbe,Mbede,1,-0.4,14,mber1257
B_Bam,,,B,West-Coastal,B62,B-Bam,Bamba,0,-1.2,13.9,omba1241
B_Mpi,,,B,West-Coastal,B62,B-Mpi,Mpini,3,-1.2,14.5,
B_Kuy,,,B,West-Coastal,B63,B-Kuy,Kuya,10,-1.5,13.4,kuya1249
B_Ndu,,,B,West-Coastal,B63,B-Ndu,Ndumu,11,-1.6,13.5,ndum1239
B_Ngw,,,B,West-Coastal,B64,B-Ngw,Ngwi,2,-4.3,19.4,ngwi1238
B_Ng2,,,B,West-Coastal,B65a,B-Ng2,Ngoli,1,-4.15,19.1,ngul1247
B_Kan,,,B,West-Coastal,B66,B-Kan,Kaningi,5,-1.75,13.6,kani1279
B_Nun,,,B,West-Coastal,B70,B-Nun,Nunu,3,-3.1,16.9,
B_Tgu,,,B,West-Coastal,B70,B-Tgu,Tegue,3,-1.1,15.2,teke1275
B_Tek,,,B,West-Coastal,B70,B-Tek,Teke,7,-4.1,17.2,teke1275
B_Tkk,,,B,West-Coastal,B71a,B-Tkk,Teke-Kale,2,-1.3,15.4,teke1275
B_Gun,,,B,West-Coastal,B72a,B-Gun,Gungwel,4,-1.9,15.8,ngun1272
B_Teg,,,B,West-Coastal,B73,B-Teg,Tege-W,3,-3.3,13.2,
B_Ts2,,,B,West-Coastal,B73A,B-Ts2,Tsayi,2,-2.8,12.6,teke1281
B_Lal,,,B,West-Coastal,B73B,B-Lal,Lali,2,-3.7,13.3,teke1277
B_Iya,,,B,West-Coastal,B73c,B-Iya,Iyaa,3,-3.8,13.3,yaka1274
B_Bo,xd43,Ac19,B,West-Coastal,B74b,B-Bo,Bo,0,-2.5,15.6,teke1278
B_Ti2,,,B,West-Coastal,B74C,B-Ti2,Tio,3,-3.7,14.5,
B_Ite,,,B,West-Coastal,B75,B-Ite,Iteke,3,-3.6,16.65,bali1275
B_Ku2,,,B,West-Coastal,B77A,B-Ku2,Kukuya,0,-2.3,14.5,teke1280
B_Fum,,,B,West-Coastal,B77b,B-Fum,Fumu,0,-4.2,15.3,fuum1238
B_Iwu,,,B,West-Coastal,B78,B-Iwu,Iwum,1,-4.3,17.05,wuum1238
B_Gon,,,B,West-Coastal,B80,B-Gon,Gongo,2,-5.7,18.2,
B_Kem,,,B,West-Coastal,B80,B-Kem,Kempee,2,-2.3,18,kemp1234
B_Kes,,,B,West-Coastal,B80,B-Kes,Kesaa,2,-3,17.5,
B_Mi2,,,B,West-Coastal,B80,B-Mi2,Mpiin,4,-5,18.7,
B_Zad,,,B,West-Coastal,B80a,B-Zad,Zadi,2,-3.8,19.1,
B_Te2,,,B,West-Coastal,B81a,B-Te2,Tiene,1,-2.7,17.7,tien1242
B_Ful,,,B,West-Coastal,B83,B-Ful,Fulunga,3,-4.2,15.8,
B_Fin,,,B,West-Coastal,B83a,B-Fin,Finu,4,-5.2,14.8,mfin1238
B_Mpu,,,B,West-Coastal,B84a,B-Mpu,Mpuono,3,-3.95,16.9,mpuu1242
B_Iyn,xd51,Ac26,B,West-Coastal,B85b,B-Iyn,Iyanz,2,-4.7,18.7,yans1239
B_Kiy,,,B,West-Coastal,B85B,B-Kiy,Kiyey,6,-3.7,17.95,
B_Nso,xd50,Ac25,B,West-Coastal,B85d,B-Nso,Nsongo,0,-4.9,19.85,song1299
B_Imp,,,B,West-Coastal,B85e,B-Imp,Impur,0,-4.3,18.8,
B_Mp2,,,B,West-Coastal,B85E,B-Mp2,Mput,2,-4.3,18.9,
B_Tm2,,,B,West-Coastal,B85f,B-Tm2,Tsambaan,3,-4.5,18.9,samb1309
B_Dzi,xd47,Ac22,B,West-Coastal,B86,B-Dzi,Dzing,2,-4.3,19.3,ding1239
B_Mb1,xd46,Ac21,B,West-Coastal,B87,B-Mb1,Mbuun,1,-4.9,19.8,mpuo1241
C_Bam,,,C,West-Congo Basin,C00,C-Bam,Bambomba,8,1.3,17.3,bomi1238
C_Bwa,,,C,West-Congo Basin,C00,C-Bwa,Bwamba,0,3.6,18,
C_Lik,,,C,West-Congo Basin,C00,C-Lik,Likau,5,2.4,18.9,
C_Mok,,,C,West-Congo Basin,C00,C-Mok,Mokiba,2,0.7,14.5,
C_Ba2,,,C,West-Congo Basin,C00a,C-Ba2,Babole,3,1.4,18,dibo1245
C_Gan,,,C,West-Congo Basin,C01,C-Gan,Gando,7,3.6,17.5,ngan1304
C_Kot,,,C,West-Congo Basin,C02,C-Kot,Kota,1,-0.7,12,kota1274
C_Iso,,,C,West-Congo Basin,C10,C-Iso,Isongo,7,4,17.8,
C_Lke,,,C,West-Congo Basin,C10,C-Lke,Leke,4,1.6,17.2,
C_Kod,,,C,West-Congo Basin,C11,C-Kod,Kondi,12,3.9,16.2,ngun1270
C_Pan,,,C,West-Congo Basin,C12,C-Pan,Pande,7,3.5,16.2,pand1264
C_Gon,,,C,West-Congo Basin,C12b,C-Gon,Gongo,7,3.2,16,bogo1240
C_Bon,,,C,West-Congo Basin,C15,C-Bon,Bongili,0,0.3,15.5,bong1284
C_Lob,,,C,West-Congo Basin,C16,C-Lob,Lobala,4,2.7,18.5,loba1239
C_Aka,,,C,West-Congo Basin,C22,C-Aka,Aka,7,4.3,18.5,akwa1248
C_Koy,,,C,West-Congo Basin,C24,C-Koy,Koyo,0,-0.5,15.9,koyo1242
C_Bo1,,,C,West-Congo Basin,C25,C-Bo1,Bosi,0,-1.1,15.4,mbos1242
C_Lkb,,,C,West-Congo Basin,C27,C-Lkb,Likuba,2,-1.7,16.4,liku1242
C_Bab,,,C,West-Congo Basin,C30,C-Bab,Babale,3,-2.1,17.15,
